name,return,horizon,success_rate,avg_policy_latency_ms,std_policy_latency_ms,avg_power_usage_w,std_power_usage_w,idle_power_w,avg_gpu_memory_increase_mb,std_gpu_memory_increase_mb,avg_cpu_memory_increase_mb,std_cpu_memory_increase_mb
mlp_21,0.27,343.6,0.27,1.8439478638831013,1.7288214367419754,58.59972183541784,6.3508412998326955,54.82668999999999,0.000228125,0.004556793306084336,0.00132451868733345,0.02602532692613307
mlp_22,0.3,334.2,0.3,1.9097909378154978,1.8137278707116467,58.52657933864459,6.164663172177958,59.01714,0.0004879679144385027,0.006654995079411546,0.003372965253516587,0.045780239915233
mlp_23,0.36,312.48,0.36,1.8596875011394522,1.758369352707061,59.10278318667931,6.457219121831147,56.85534,0.000228125,0.004556793306084336,0.0016733598042846627,0.032546939219589344
mlp_24,0.62,247.96,0.62,1.890847335731809,1.8286362232946207,58.44373633869392,5.972844837732657,56.933520000000016,0.000298202614379085,0.005207884768585896,0.0019275894466143598,0.03310765956286717
mlp_25,0.31,334.47,0.31,1.826303289112593,1.7751638708750848,58.643772567869554,6.189731739910591,59.75825999999997,0.000228125,0.004556793306084336,0.0016880248220016475,0.033276485704203156
mlp_26,0.49,298.06,0.49,1.890566975774175,2.0043050476599924,58.849985069699116,6.221942420850391,58.054169999999985,0.00040736607142857143,0.006083272713080191,0.0026127430770465625,0.038748988294296544
mlp_27,0.41,311.11,0.41,1.8982014081932732,1.7908013564679242,58.90285588331554,6.25710198038491,54.68862000000002,0.000228125,0.004556793306084336,0.0017482129265792947,0.03414620344363905
mlp_28,0.37,320.25,0.37,1.9379061905941877,2.0504481892434088,58.775129730725766,6.209346954462568,57.45859,0.0005564024390243903,0.007103670803663647,0.0033443579703781516,0.04294355599562387
mlp_29,0.44,297.27,0.44,1.715363013255926,1.4633673518637542,56.85171042354681,5.512806069839165,55.13630000000001,0.000228125,0.004556793306084336,0.0014220237508842245,0.02767519310884007
mlp_30,0.2,350.08,0.2,1.606632587111538,1.4381279088064995,57.44612129100801,5.702721442363117,55.40519999999998,0.000228125,0.004556793306084336,0.0014781854335666718,0.029126031497889438
